Counties,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994
ORANGE,105.2,144.4,137.4,140.6,184.5,139.8,193.6,145.4,255.6,168.2,286.6,262.8,135.4,125.2,144.7,142.6,164.5,158.5,155.8,182.8,132,120.3,78.2,81.3,77.3,91.5
ORLEANS,14.6,12.2,4.8,4.8,7.1,4.7,9.3,0,0,0,0,2.4,2.3,0,2.3,0,2.3,0,0,0,0,0,0,0,2.3,4.5
OSWEGO,97.1,76,105.1,63.3,42.2,28.9,46,13.9,6.6,4.1,3.3,4.9,3.3,0.8,0,2.4,3.3,0,1.6,1.6,2.4,4,2.4,0.8,2.4,2.4
OTSEGO,384.4,198,311.2,174.8,165.2,85.9,102.1,51.7,56.2,27.6,21,22.4,12.8,3.2,0,1.6,3.2,4.9,1.6,3.3,0,1.6,4.9,4.9,4.9,4.9
PUTNAM,280.9,321.1,349.9,347.3,323.7,324.2,295.2,242.2,346,172.3,383.9,203,139.2,148.3,189.9,205.9,308.4,258,220.4,305.8,193.3,258.2,170.2,384.9,312.9,378.8
RENSSELAER,314.9,224.1,395.5,310.1,338.6,268.9,382.3,317.5,411.5,207.7,283.4,349,224.7,174.6,135,129.9,102.4,80,57.7,44.9,15,4.4,5.7,7.6,3.2,6.4
ROCKLAND,57.5,56.3,63.3,50.6,103.8,75.7,73.3,76.5,89.5,81,109.9,119.1,67.8,83,86.5,57,67.2,41.8,33.8,24.6,19.6,36.3,30.5,16.7,42.8,44.3
ST LAWRENCE,189.7,78.5,209,121.6,95.2,99.1,138.1,44.8,35.7,30.1,42.8,22.8,9,0.9,1.8,1.8,3.6,0.9,0.9,2.7,1.8,1.8,1.8,0.9,0,0.9
SARATOGA,157.1,83.5,139.2,108.3,112.5,75.9,213.4,153.9,239.1,133.1,187.4,168.6,58.5,38.6,32.4,20,5.3,7.5,7.5,5.5,0.5,1,2.5,3.1,3.1,3.1
SCHENECTADY,54,55.9,74.4,75.7,75.8,33.5,36.7,21.9,51.1,38.1,86.5,61.7,22.6,14.8,17.6,11.5,8.8,4.8,2,4.9,4,4.7,1.3,3.3,2.7,2
SCHOHARIE,248.3,232.3,188.4,95.8,104.5,62.8,96.6,36.8,88.6,44.4,81.5,71.7,34.2,15.5,12.5,6.3,6.3,6.3,6.3,0,0,5.9,5.9,0,9.1,9.1
SCHUYLER,216.7,133.3,254.2,110,140.7,48.8,183.6,76.2,38.2,21.4,5.3,5.3,5.2,5.2,0,0,5.2,5.2,0,5.2,0,0,0,0,5.2,0
SENECA,78.3,34.8,51.8,34.5,22.9,5.6,11.3,11.4,22.7,0,8.8,0,0,5.7,5.7,0,5.7,3,0,3.1,0,2.9,0,2.9,0,5.8
STEUBEN,23.9,76.9,108.3,69.7,36.6,23.3,20.2,9.1,4,3.1,2.1,5.2,0,0,1,0,0,0,0,2,1,2,1,2,0,0
SUFFOLK,29,31.9,35,42.9,44.5,43.6,37.8,46,43.9,40.1,32.9,37.3,15.9,12.9,36.7,38.2,19.7,36.1,29.4,42,61.6,67.2,61.8,92.2,100,132.1
SULLIVAN,151,80.8,50.8,134.9,127.7,112.2,130.2,110.5,156,193.9,149.6,154.7,90.1,44.4,47.3,52,20.2,24.3,10.8,20.2,4.3,8.6,4.3,11.4,24.4,12.9
TIOGA,247,160.6,252.3,131.4,164.4,83.6,120.8,52.9,46.9,32,14,2,5.9,3.9,1.9,5.8,5.8,7.7,5.8,3.8,0,0,3.7,0,1.9,1.9
TOMPKINS,174.6,156.5,176.4,122.9,129,99.4,86.8,85.5,142.8,68.8,48.5,41.6,8,2,3,4.9,10.1,5.2,3.1,8.2,5.8,5,5.9,6.1,5.1,14.3
ULSTER,249.1,148.8,233.8,194.9,284.9,224.3,236,202.8,225.8,199,320.4,427.8,197.6,196,220.1,162.9,166.7,187.9,113.6,127.9,89.2,98.2,64.3,36.3,31,24.4
WARREN,302.2,60.4,37.2,83.5,61.6,70.4,116,50.1,28.9,51.5,142.5,30.2,30.3,18.3,18.4,13.9,0,1.6,4.7,0,0,0,0,3.2,0,1.6
WASHINGTON,232.1,89.3,139.2,136.6,120.3,111,216.1,188.4,430.3,215.1,312.1,291.7,131,88.9,35,27.5,8.2,1.6,0,1.7,0,0,1.6,3.3,0,6.6
WAYNE,52.9,16.5,23.1,18.6,14.1,7.6,16.1,2.1,3.2,1.1,1.1,2.2,2.2,0,0,0,0,1.1,2.1,1,0,0,1.1,0,1.1,1.1
WESTCHESTER,33.6,31.8,41.8,35.1,39.6,20,25.7,22.1,66.9,42.3,69.1,107.8,37.9,28,48.6,79.3,79.6,36.7,44.7,30.9,60.5,62.2,32.4,77.7,78.2,151.4
WYOMING,27.2,2.5,4.9,7.3,7.3,4.8,2.4,4.8,3.4,2.4,4.8,0,2.3,2.3,2.3,0,2.3,2.3,2.3,0,0,2.3,4.5,2.3,2.3,0
YATES,56.1,128.2,224.7,63.9,91.2,51.7,55.2,19.6,15.8,4.1,0,0,0,4,0,0,4.1,0,0,4.1,0,0,0,16.7,0,0
NYC,8.8,8.7,12.7,11.1,11.1,10.1,8.9,6.6,8.9,8.7,12.6,9.8,5.1,3.7,4.9,4.4,2.8,0.7,1.2,2.4,1.8,1.9,2.3,5.4,6.1,1.3
